"gate_id","phase","requirement","evidence","pass_fail_criterion","blocker_severity","owner","status"
"PR-01","MUST_PASS_BEFORE_CUTOVER","Corrected full-galaxy Phase 4C completed independently","Immutable final receipt with start/end, phase results, signer/hash, final DB size, peak filesystem, runtime, WAL, and environment identity","Pass: all required fields present and receipt hash verified; fail: partial, edited, historical-run, or unknown result","CUTOVER_BLOCKER","Data/DB","PENDING_PHASE_4C"
"PR-02","MUST_PASS_BEFORE_CUTOVER","Phase 4C input and toolchain identity matches approved pins","Receipt for source artifact name/bytes/SHA, baseline SHA, importer composite SHA, normalizer SHA, PG version/settings, generation key","Pass: every value exactly matches the approved wrapper pins or an explicitly re-approved input; fail: any mismatch/unexplained value","CUTOVER_BLOCKER","Data/DB","PENDING_PHASE_4C"
"PR-03","MUST_PASS_BEFORE_CUTOVER","Exact preserved database is identified and quiescent","Two independent captures of system_identifier, database OID/name, timeline, checkpoint LSN, checksums, writer sessions/processes","Pass: captures agree and only approved hardening writers exist; fail: identity drift, missing capture, or unexpected writer","CUTOVER_BLOCKER","Data/DB","PENDING_PHASE_4C"
"PR-04","MUST_PASS_BEFORE_CUTOVER","Full source reconciliation and validation passed","Source-run/generation-input ledger, counts/hashes, rejection/quarantine summary, invariant suite, immutable validation receipt","Pass: all source coverage reconciles and every mandatory invariant passes with explained bounded rejection; fail: unexplained loss/mismatch/unknown","CUTOVER_BLOCKER","Data/DB","PENDING_PHASE_4C"
"PR-05","MUST_PASS_BEFORE_CUTOVER","Canonical publish and rollback are atomic and read back correctly","Phase 4C publication/rollback transaction, pointer/audit/outbox rows, API/direct-SQL readback, retained rollback generation","Pass: one current READY generation, atomic audit/outbox, rollback and re-publish read back exact IDs; fail: partial/mixed/unknown state","CUTOVER_BLOCKER","Data/DB","PENDING_PHASE_4C"
"PR-06","MUST_PASS_BEFORE_CUTOVER","Immutable promotion identity bundle exists","Canonical JSON envelope and hash covering database, generation, inputs, validation, backup, configuration, OpenAPI/frontend identities","Pass: complete, reproducible hash stored locally and protected off-host; fail: generation-only label, missing identity, or mutable-only copy","CUTOVER_BLOCKER","Release","NOT_EVALUATED"
"PR-07","MUST_PASS_BEFORE_CUTOVER","Candidate state is append-only and does not rewrite rehearsal/canonical history","Promotion event chain showing FULL_REHEARSAL_NOT_PRODUCTION retained and subsequent candidate states external/control-only","Pass: event hashes/actors/evidence verify and canonical fingerprints remain equal; fail: relabel/edit of receipt or canonical content","CUTOVER_BLOCKER","Architecture","NOT_EVALUATED"
"PR-08","MUST_PASS_BEFORE_CUTOVER","Four-function approval and separation of duties completed","Signed Data/DB, Security/Identity, Operations/Release, and Product approvals; builder/reviewer identity","Pass: every required approval is current and packet builder is not sole approver; fail: missing/conditional/expired/sole self-approval","CUTOVER_BLOCKER","Release","NOT_EVALUATED"
"PR-09","MUST_PASS_BEFORE_CUTOVER","Protected rollback checkpoint and exact-candidate restore passed","pgBackRest set/WAL range, protected repo proof, isolated restore receipt, identity/app checks, measured RPO/RTO","Pass: exact candidate restores within accepted objectives and yields verified recovery point; fail: untested/local-only/logical-only/over-objective","CUTOVER_BLOCKER","DR/Operations","NOT_EVALUATED"
"PR-10","MUST_PASS_BEFORE_CUTOVER","Reproducible least-privilege roles, ownership, grants, and default privileges are provisioned","Idempotent reviewed role/grant migration; schema/object/default privilege inventory and diff; PUBLIC revocations","Pass: matrix matches plan across existing/future tables/sequences/functions and rerun is clean; fail: manual-only, drift, blanket service ALL, or public leakage","CUTOVER_BLOCKER","Data/DB + Security","NOT_EVALUATED"
